Période;Poste;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,8[;[8,9[;[9,10[;[10,11[;[11,12[;[12,13[;[13,14[;[14,15[;[15,16[;[16,17[;[17,18[;[18,19[;[19,20[;[20,21[;[21,22[;[22,23[;[23,24[
Mois de Juin - Aôut ();Autres;86,5;61,4;61,0;62,4;60,7;61,9;56,0;51,0;48,8;62,8;72,0;108,7;78,1;83,2;86,9;88,5;90,8;92,2;94,7;93,8;86,2;78,8;76,0;81,0
Mois de Mars - Mai (Jours ouvrées);Chauffage direct;116,4;113,6;124,9;135,4;151,5;177,2;207,6;224,8;211,1;176,5;165,9;153,7;146,1;133,2;117,7;107,9;112,9;113,3;128,7;139,0;156,6;163,6;149,4;128,6
Mois de Mars - Mai (Jours ouvrées);Ventilation;12,5;12,6;12,6;12,7;12,7;12,7;13,0;13,1;12,7;12,5;12,6;12,6;12,6;12,6;12,7;12,8;13,1;13,2;13,1;13,0;13,0;12,8;12,7;12,6
Mois de Mars - Mai (Jours ouvrées);Froid;63,3;60,8;59,7;58,8;58,8;57,9;56,8;58,8;58,4;59,7;60,2;59,2;62,3;64,7;62,7;63,1;63,7;64,0;64,4;67,8;70,5;67,6;64,7;63,1
Mois de Mars - Mai (Jours ouvrées);Audiovisuel;26,4;18,7;15,9;14,3;13,9;14,8;15,4;19,8;23,3;24,3;24,6;25,9;34,7;41,5;34,9;33,0;33,9;37,8;46,4;59,1;67,4;73,1;64,5;43,8
Mois de Mars - Mai (Jours ouvrées);Informatique/Bureautique;21,8;20,5;19,9;19,3;18,5;18,3;18,4;19,3;20,0;21,5;23,2;23,1;22,8;23,2;24,9;26,0;26,1;26,2;26,9;28,3;28,2;28,0;27,4;25,3
Mois de Mars - Mai (Jours ouvrées);Lavage séchage;35,7;28,3;23,5;17,5;18,6;12,4;8,9;19,2;38,6;48,2;47,8;45,2;42,9;51,3;50,3;36,3;30,5;30,1;31,2;37,9;44,2;44,0;29,1;33,4
Mois de Mars - Mai (Jours ouvrées);Cuisson;6,4;6,1;6,6;5,2;5,4;7,5;19,1;32,5;30,1;27,9;23,1;38,2;90,6;61,1;26,3;20,0;24,0;31,2;63,0;137,9;116,5;46,3;15,3;9,3
Mois de Mars - Mai (Jours ouvrées);Eclairage;12,4;8,3;6,0;4,8;4,3;5,8;10,0;17,6;13,0;10,4;10,4;9,5;8,8;8,7;8,4;8,9;9,3;11,1;16,1;26,8;33,1;35,7;31,3;22,3
Mois de Mars - Mai (Jours ouvrées);Chauffe eau;399,4;243,6;174,2;110,0;91,2;97,7;78,9;37,7;33,1;32,6;32,4;27,5;44,2;50,7;39,6;43,4;29,5;13,6;19,9;37,6;61,9;111,7;226,6;400,6
Mois de Mars - Mai (Jours ouvrées);Autres;67,9;59,9;55,1;55,1;54,5;52,0;48,3;49,4;48,9;54,5;58,8;58,0;56,0;53,6;56,6;57,6;58,7;60,4;63,3;67,9;68,3;58,5;60,3;63,7
Mois de Mars - Mai (Week-end);Chauffage direct;123,4;111,5;123,1;119,4;136,3;156,3;183,8;203,2;211,5;194,0;183,3;170,0;151,3;140,9;126,9;114,9;109,7;106,2;117,9;129,4;143,2;160,7;149,3;133,6
Mois de Mars - Mai (Week-end);Ventilation;12,5;12,6;12,6;12,7;12,7;12,7;12,7;13,1;13,2;13,1;13,0;13,0;12,8;12,8;12,9;12,8;12,9;12,8;12,9;12,9;12,8;12,7;12,6;12,6
